"logIndex","timestamp","status","PackTemp","PackTemp-l","PackSOC","Vpack","MotAmps","BattAmps","Mods","MotTemp","CtrlTemp","MotRPM","0Module00DisconnectingHPmodvolt","0Module01DisconnectingHPmodvolt","0Module01Registeredmodvolt","0Module00Registeredmodvolt","minsys","diff"
1,1403696286000,"Riding","20C","19C","86%","113.666V","0","-13","11","30C","12C","0",,,,,,
2,1403696289000,"Riding","20C","19C","86%","113.551V","0","-14","11","30C","12C","0",,,,,,
3,1403696292000,"Riding","20C","19C","86%","113.686V","0","-15","11","30C","12C","0",,,,,,
4,1403696295000,"Riding","20C","19C","86%","113.608V","0","-16","11","30C","12C","0",,,,,,
5,1403696298000,"Riding","20C","19C","86%","113.673V","0","-14","11","30C","12C","0",,,,,,
6,1403696301000,"Riding","21C","19C","86%","113.253V","0","-25","11","30C","12C","0",,,,,,
7,1403696304000,"Riding","20C","19C","86%","113.328V","0","-16","11","30C","12C","0",,,,,,
8,1403696307000,"Riding","20C","19C","86%","113.303V","0","-17","11","30C","12C","0",,,,,,
9,1403696310000,"Riding","20C","19C","86%","113.225V","0","-20","11","30C","12C","0",,,,,,
10,1403696313000,"Riding","20C","19C","86%","113.118V","0","-25","11","30C","12C","0",,,,,,
11,1403696316000,"Riding","20C","19C","86%","113.769V","0","-16","11","30C","12C","0",,,,,,
12,1403696319000,"Riding","20C","19C","86%","113.649V","0","-3","11","30C","12C","0",,,,,,
13,1403696322000,"Riding","20C","19C","86%","113.561V","0","-3","11","30C","12C","0",,,,,,
14,1403696325000,"Riding","20C","19C","86%","113.390V","0","-15","11","30C","12C","0",,,,,,
15,1403696328000,"Riding","20C","19C","86%","113.267V","0","-21","11","30C","12C","0",,,,,,
16,1403696331000,"Riding","20C","19C","86%","113.211V","0","-24","11","30C","12C","0",,,,,,
17,1403696334000,"Riding","20C","19C","86%","113.173V","0","-27","11","30C","12C","0",,,,,,
18,1403696337000,"Riding","20C","19C","86%","113.171V","0","-29","11","30C","12C","0",,,,,,
19,1403696340000,"Riding","20C","19C","86%","113.180V","0","-30","11","30C","12C","0",,,,,,
20,1403696343000,"Riding","20C","19C","86%","113.189V","0","-33","11","29C","12C","0",,,,,,
21,1403696346000,"Riding","20C","18C","86%","113.206V","0","-33","11","29C","12C","0",,,,,,
22,1403696349000,"Riding","20C","19C","86%","113.269V","0","-35","11","30C","12C","0",,,,,,
23,1403696352000,"Riding","20C","18C","86%","113.449V","0","-30","11","30C","12C","0",,,,,,
24,1403696355000,"Riding","20C","19C","86%","113.652V","0","-27","11","30C","12C","0",,,,,,
25,1403696358000,"Riding","20C","19C","86%","113.826V","0","-21","11","29C","12C","0",,,,,,
26,1403696361000,"Riding","20C","19C","86%","113.928V","0","-11","11","30C","12C","0",,,,,,
27,1403696364000,"Riding","20C","18C","86%","114.096V","0","-15","11","30C","12C","0",,,,,,
28,1403696367000,"Riding","20C","19C","86%","114.038V","0","-10","11","30C","12C","0",,,,,,
29,1403696370000,"Riding","20C","18C","86%","114.035V","0","-6","11","30C","12C","0",,,,,,
30,1403696373000,"Riding","20C","19C","86%","113.949V","0","-6","11","29C","12C","0",,,,,,
31,1403696376000,"Riding","20C","18C","86%","113.875V","0","-12","11","30C","12C","0",,,,,,
32,1403696379000,"Riding","20C","18C","86%","114.112V","0","-13","11","30C","12C","0",,,,,,
33,1403696382000,"Riding","20C","18C","86%","113.991V","0","-11","11","30C","12C","0",,,,,,
34,1403696385000,"Riding","20C","18C","86%","114.107V","0","-6","11","29C","12C","0",,,,,,
35,1403696388000,"Riding","20C","18C","86%","114.080V","0","-7","11","30C","12C","0",,,,,,
36,1403696391000,"Riding","20C","18C","86%","113.517V","0","-27","11","30C","12C","0",,,,,,
37,1403696394000,"Riding","20C","18C","86%","113.517V","0","-31","11","29C","12C","0",,,,,,
38,1403696397000,"Riding","20C","18C","86%","113.654V","0","-32","11","30C","12C","0",,,,,,
39,1403696400000,"Riding","20C","18C","86%","113.751V","0","-32","11","29C","12C","0",,,,,,
40,1403696403000,"Riding","20C","18C","86%","113.818V","0","-32","11","29C","12C","0",,,,,,
41,1403696406000,"Riding","20C","18C","86%","113.898V","0","-30","11","30C","12C","0",,,,,,
42,1403696409000,"Riding","20C","18C","86%","113.954V","0","-29","11","30C","12C","0",,,,,,
43,1403696412000,"Riding","20C","18C","86%","114.095V","0","-24","11","30C","12C","0",,,,,,
44,1403696415000,"Riding","20C","18C","86%","114.253V","0","-20","11","29C","12C","0",,,,,,
45,1403696418000,"Riding","20C","18C","86%","114.312V","0","-15","11","30C","12C","0",,,,,,
46,1403696421000,"Riding","20C","18C","86%","114.299V","0","-12","11","30C","12C","0",,,,,,
47,1403696424000,"Riding","20C","18C","86%","114.253V","0","-6","11","29C","12C","0",,,,,,
48,1403696427000,"Riding","20C","18C","86%","114.138V","0","-16","11","30C","12C","0",,,,,,
49,1403696430000,"Riding","20C","18C","86%","113.636V","0","-24","11","29C","12C","0",,,,,,
50,1403696433000,"Riding","20C","18C","86%","114.126V","0","-33","11","29C","12C","0",,,,,,
51,1403696436000,"Riding","20C","18C","86%","113.776V","0","-23","11","29C","12C","0",,,,,,
52,1403696439000,"Riding","20C","18C","86%","113.813V","0","-24","11","29C","12C","0",,,,,,
53,1403696442000,"Riding","20C","18C","86%","113.661V","0","-25","11","29C","12C","0",,,,,,
54,1403696445000,"Riding","20C","18C","86%","113.784V","0","-33","11","29C","12C","0",,,,,,
55,1403696448000,"Riding","20C","18C","86%","114.141V","0","-34","11","29C","12C","0",,,,,,
56,1403696451000,"Riding","20C","18C","86%","114.262V","0","-18","11","29C","12C","0",,,,,,
57,1403696454000,"Riding","20C","18C","86%","114.377V","0","-8","11","29C","12C","0",,,,,,
58,1403696457000,"Riding","20C","18C","86%","114.462V","0","-6","11","29C","12C","0",,,,,,
59,1403696460000,"Riding","20C","18C","86%","114.426V","0","-8","11","29C","12C","0",,,,,,
60,1403696463000,"Riding","20C","18C","86%","114.396V","0","-11","11","29C","12C","0",,,,,,
61,1403696466000,"Riding","20C","18C","86%","114.326V","0","-13","11","29C","12C","0",,,,,,
62,1403696469000,"Riding","20C","18C","86%","114.316V","0","-14","11","29C","12C","0",,,,,,
63,1403696472000,"Riding","20C","18C","86%","114.345V","0","-15","11","29C","12C","0",,,,,,
64,1403696475000,"Riding","20C","18C","86%","114.371V","0","-13","11","29C","12C","0",,,,,,
65,1403696478000,"Riding","20C","18C","86%","114.392V","0","-13","11","29C","12C","0",,,,,,
66,1403696481000,"Riding","20C","18C","86%","114.427V","0","-12","11","29C","12C","0",,,,,,
67,1403696484000,"Riding","20C","18C","86%","114.501V","0","-5","11","29C","12C","0",,,,,,
68,1403696487000,"Riding","20C","18C","86%","114.484V","0","-13","11","29C","12C","0",,,,,,
69,1403696490000,"Riding","20C","18C","86%","114.524V","0","-10","11","29C","12C","0",,,,,,
70,1403696493000,"Riding","20C","18C","86%","114.603V","0","-11","11","28C","12C","0",,,,,,
71,1403696496000,"Riding","20C","18C","86%","114.592V","0","-12","11","29C","12C","0",,,,,,
72,1403696499000,"Riding","20C","18C","86%","114.465V","0","-12","11","28C","12C","0",,,,,,
73,1403696502000,"Riding","20C","18C","86%","114.281V","0","-14","11","29C","12C","0",,,,,,
74,1403696505000,"Riding","20C","18C","86%","114.341V","0","-28","11","28C","12C","0",,,,,,
75,1403696508000,"Riding","20C","18C","86%","114.354V","0","-29","11","28C","12C","0",,,,,,
